barrio,tipo_gral,anio,mes,franja_grupo,cantidad_crimenes
AGRONOMIA,Crimenes Violentos,2018,8,1,4
AGRONOMIA,Crimenes Violentos,2018,8,3,1
AGRONOMIA,Crimenes Violentos,2018,8,4,2
AGRONOMIA,Crimenes Violentos,2018,9,1,2
AGRONOMIA,Crimenes Violentos,2018,9,2,1
AGRONOMIA,Crimenes Violentos,2018,9,3,3
AGRONOMIA,Crimenes Violentos,2018,9,4,2
AGRONOMIA,Crimenes Violentos,2018,10,1,1
AGRONOMIA,Crimenes Violentos,2018,10,2,1
AGRONOMIA,Crimenes Violentos,2018,10,3,2
AGRONOMIA,Crimenes Violentos,2018,10,4,2
AGRONOMIA,Crimenes Violentos,2018,11,1,1
AGRONOMIA,Crimenes Violentos,2018,11,3,4
AGRONOMIA,Crimenes Violentos,2018,11,4,6
AGRONOMIA,Crimenes Violentos,2018,12,2,3
AGRONOMIA,Crimenes Violentos,2018,12,3,3
AGRONOMIA,Crimenes Violentos,2018,12,4,3
AGRONOMIA,Crimenes Violentos,2019,1,1,2
AGRONOMIA,Crimenes Violentos,2019,1,2,1
AGRONOMIA,Crimenes Violentos,2019,1,3,3
AGRONOMIA,Crimenes Violentos,2019,1,4,6
AGRONOMIA,Crimenes Violentos,2019,2,1,3
AGRONOMIA,Crimenes Violentos,2019,2,2,2
AGRONOMIA,Crimenes Violentos,2019,2,3,9
AGRONOMIA,Crimenes Violentos,2019,2,4,2
AGRONOMIA,Crimenes Violentos,2019,3,1,3
AGRONOMIA,Crimenes Violentos,2019,3,2,4
AGRONOMIA,Crimenes Violentos,2019,3,3,1
AGRONOMIA,Crimenes Violentos,2019,3,4,1
AGRONOMIA,Crimenes Violentos,2019,4,1,4
AGRONOMIA,Crimenes Violentos,2019,4,2,3
AGRONOMIA,Crimenes Violentos,2019,4,3,3
AGRONOMIA,Crimenes Violentos,2019,4,4,2
AGRONOMIA,Crimenes Violentos,2019,5,2,3
AGRONOMIA,Crimenes Violentos,2019,5,3,2
AGRONOMIA,Crimenes Violentos,2019,6,2,2
AGRONOMIA,Crimenes Violentos,2019,6,3,2
AGRONOMIA,Crimenes Violentos,2019,6,4,1
AGRONOMIA,Crimenes Violentos,2019,7,1,1
AGRONOMIA,Crimenes Violentos,2019,7,3,1
AGRONOMIA,Crimenes Violentos,2019,7,4,2
AGRONOMIA,Crimenes Violentos,2019,8,1,1
AGRONOMIA,Crimenes Violentos,2019,8,2,2
AGRONOMIA,Crimenes Violentos,2019,8,3,3
AGRONOMIA,Crimenes Violentos,2019,8,4,5
AGRONOMIA,Crimenes Violentos,2019,9,2,7
AGRONOMIA,Crimenes Violentos,2019,9,4,8
AGRONOMIA,Crimenes Violentos,2019,10,1,2
AGRONOMIA,Crimenes Violentos,2019,10,3,1
AGRONOMIA,Crimenes Violentos,2019,10,4,4
AGRONOMIA,Crimenes Violentos,2019,11,2,1
AGRONOMIA,Crimenes Violentos,2019,11,3,2
AGRONOMIA,Crimenes Violentos,2019,11,4,4
AGRONOMIA,Crimenes Violentos,2019,12,1,2
AGRONOMIA,Crimenes Violentos,2019,12,2,2
AGRONOMIA,Crimenes Violentos,2019,12,4,2
AGRONOMIA,Crimenes Violentos,2020,3,3,1
AGRONOMIA,Crimenes Violentos,2020,3,4,1
AGRONOMIA,Crimenes Violentos,2020,8,1,1
AGRONOMIA,Crimenes Violentos,2020,8,2,1
AGRONOMIA,Crimenes Violentos,2020,9,4,1
AGRONOMIA,Crimenes Violentos,2020,10,4,2
AGRONOMIA,Crimenes Violentos,2020,11,1,2
AGRONOMIA,Crimenes Violentos,2020,11,2,1
AGRONOMIA,Crimenes Violentos,2020,11,3,3
AGRONOMIA,Crimenes Violentos,2020,11,4,2
AGRONOMIA,Crimenes Violentos,2020,12,1,1
AGRONOMIA,Crimenes Violentos,2020,12,2,3
AGRONOMIA,Crimenes Violentos,2020,12,3,1
AGRONOMIA,Crimenes Violentos,2020,12,4,4
AGRONOMIA,Crimenes Violentos,2021,1,1,1
AGRONOMIA,Crimenes Violentos,2021,1,2,2
AGRONOMIA,Crimenes Violentos,2021,1,4,1
AGRONOMIA,Crimenes Violentos,2021,2,1,2
AGRONOMIA,Crimenes Violentos,2021,2,2,4
AGRONOMIA,Crimenes Violentos,2021,2,3,3
AGRONOMIA,Crimenes Violentos,2021,2,4,1
AGRONOMIA,Crimenes Violentos,2021,3,1,2
AGRONOMIA,Crimenes Violentos,2021,3,2,3
AGRONOMIA,Crimenes Violentos,2021,3,3,3
AGRONOMIA,Crimenes Violentos,2021,3,4,3
AGRONOMIA,Crimenes Violentos,2021,4,1,2
AGRONOMIA,Crimenes Violentos,2021,4,2,1
AGRONOMIA,Crimenes Violentos,2021,4,3,1
AGRONOMIA,Crimenes Violentos,2021,4,4,1
AGRONOMIA,Crimenes Violentos,2021,5,1,1
AGRONOMIA,Crimenes Violentos,2021,5,3,2
AGRONOMIA,Crimenes Violentos,2021,5,4,2
AGRONOMIA,Crimenes Violentos,2021,6,3,1
AGRONOMIA,Crimenes Violentos,2021,6,4,3
AGRONOMIA,Crimenes Violentos,2021,7,2,2
